Data	PnL_Lordo	PnL_Netto_Euro	Cumulata_Euro
2025-05-13	0.0	0.0	16165.83
2025-05-14	-0.2	-226.0	15939.83
2025-05-15	-0.2	-226.0	15713.83
2025-05-16	0.0	0.0	15713.83
2025-05-20	0.0	0.0	15713.83
2025-05-21	0.0	0.0	15713.83
2025-05-22	0.0	0.0	15713.83
2025-05-23	0.0	0.0	15713.83
2025-05-27	-0.2	-226.0	15487.83
2025-05-28	-0.06	-86.0	15401.83
2025-05-29	0.2	174.0	15575.83
2025-05-30	0.2	174.0	15749.83
2025-06-03	0.0	0.0	15749.83
2025-06-04	0.0	0.0	15749.83
2025-06-05	0.2	174.0	15923.83
2025-06-06	-0.2	-226.0	15697.83
2025-06-10	0.0	0.0	15697.83
2025-06-11	-0.2	-226.0	15471.83
2025-06-12	0.2	174.0	15645.83
2025-06-13	0.2	174.0	15819.83
2025-06-17	0.0	0.0	15819.83
2025-06-18	0.0	0.0	15819.83
2025-06-19	0.0	0.0	15819.83
2025-06-20	0.0	0.0	15819.83
2025-06-24	-0.2	-226.0	15593.83
2025-06-25	-0.2	-226.0	15367.83
2025-06-26	0.0	0.0	15367.83
2025-06-27	-0.2	-226.0	15141.83
2025-07-01	0.0	0.0	15141.83
2025-07-02	0.044	18.17	15160.0
2025-07-03	0.0	0.0	15160.0
2025-07-04	0.0	0.0	15160.0
2025-07-08	0.058	32.33	15192.33
2025-07-09	-0.2	-226.0	14966.33
2025-07-10	0.2	174.0	15140.33
2025-07-11	0.2	174.0	15314.33
2025-07-15	0.0	0.0	15314.33
2025-07-16	0.0	0.0	15314.33
2025-07-17	0.0	0.0	15314.33
2025-07-18	0.0	0.0	15314.33
2025-07-22	0.02	-6.0	15308.33
2025-07-23	-0.2	-226.0	15082.33
2025-07-24	0.0	0.0	15082.33
2025-07-25	0.2	174.0	15256.33
2025-07-29	0.0	0.0	15256.33
2025-07-30	0.0	0.0	15256.33
2025-07-31	0.0	0.0	15256.33
2025-08-01	0.0	0.0	15256.33
2025-08-05	0.0	0.0	15256.33
2025-08-06	0.0	0.0	15256.33
2025-08-07	0.0	0.0	15256.33
2025-08-08	0.0	0.0	15256.33
2025-08-12	0.2	174.0	15430.33
2025-08-13	0.0	0.0	15430.33
2025-08-14	0.0	0.0	15430.33
2025-08-15	0.2	174.0	15604.33
2025-08-19	0.0	0.0	15604.33
2025-08-20	0.0	0.0	15604.33
2025-08-21	0.0	0.0	15604.33
2025-08-22	0.0	0.0	15604.33
2025-08-26	0.0	0.0	15604.33
2025-08-27	0.0	0.0	15604.33
2025-08-28	0.0	0.0	15604.33
2025-08-29	0.0	0.0	15604.33
2025-09-02	0.2	174.0	15778.33
2025-09-03	0.2	174.0	15952.33
2025-09-04	0.2	174.0	16126.33
2025-09-05	0.2	174.0	16300.33
2025-09-09	0.118	92.33	16392.67
2025-09-10	0.2	174.0	16566.67
2025-09-11	0.2	174.0	16740.67
2025-09-12	0.2	174.0	16914.67
2025-09-16	0.0	0.0	16914.67
2025-09-17	0.0	0.0	16914.67
2025-09-18	0.0	0.0	16914.67
2025-09-19	0.0	0.0	16914.67
2025-09-23	0.0	0.0	16914.67
2025-09-24	0.067	40.67	16955.33
2025-09-25	0.2	174.0	17129.33
2025-09-26	0.2	174.0	17303.33
2025-09-30	0.0	0.0	17303.33
2025-10-01	-0.2	-226.0	17077.33
2025-10-02	0.0	0.0	17077.33
2025-10-03	-0.086	-111.83	16965.5
2025-10-07	0.0	0.0	16965.5
2025-10-08	0.2	174.0	17139.5
2025-10-09	0.2	174.0	17313.5
2025-10-10	0.2	174.0	17487.5
2025-10-14	0.2	174.0	17661.5
2025-10-15	0.2	174.0	17835.5
2025-10-16	0.2	174.0	18009.5
2025-10-17	0.2	174.0	18183.5
2025-10-21	0.0	0.0	18183.5
2025-10-22	0.0	0.0	18183.5
2025-10-23	0.0	0.0	18183.5
2025-10-24	0.0	0.0	18183.5
2025-10-28	0.0	0.0	18183.5
2025-10-29	0.0	0.0	18183.5
2025-10-30	0.0	0.0	18183.5
2025-10-31	0.0	0.0	18183.5
2025-11-04	0.0	0.0	18183.5
2025-11-05	0.0	0.0	18183.5
2025-11-06	0.0	0.0	18183.5
2025-11-07	-0.093	-119.33	18064.17
2025-11-11	0.0	0.0	18064.17
2025-11-12	0.17	144.0	18208.17
2025-11-13	0.2	174.0	18382.17
2025-11-14	0.2	174.0	18556.17
2025-11-18	0.0	0.0	18556.17
2025-11-19	0.0	0.0	18556.17
2025-11-20	0.018	-7.67	18548.5
2025-11-21	0.0	0.0	18548.5
2025-11-25	0.087	60.67	18609.17
2025-11-26	0.2	174.0	18783.17
2025-11-27	0.047	20.67	18803.83
2025-11-28	0.067	40.67	18844.5
2025-12-02	-0.157	-183.5	18661.0
2025-12-03	0.2	174.0	18835.0
2025-12-04	0.2	174.0	19009.0
2025-12-05	0.2	174.0	19183.0
2025-12-09	0.0	0.0	19183.0
2025-12-10	-0.151	-176.83	19006.17
