Data	PnL_Lordo	PnL_Netto_Euro	Cumulata_Euro
2024-09-17	0.0	0.0	1524.0
2024-09-18	0.0	0.0	1524.0
2024-09-19	0.0	0.0	1524.0
2024-09-20	0.0	0.0	1524.0
2024-09-24	0.0	0.0	1524.0
2024-09-25	0.0	0.0	1524.0
2024-09-26	-0.3	-306.0	1218.0
2024-09-27	-0.12	-126.0	1092.0
2024-10-01	0.0	0.0	1092.0
2024-10-02	0.0	0.0	1092.0
2024-10-03	0.0	0.0	1092.0
2024-10-04	-0.3	-306.0	786.0
2024-10-08	0.0	0.0	786.0
2024-10-09	0.0	0.0	786.0
2024-10-10	-0.3	-306.0	480.0
2024-10-11	0.0	0.0	480.0
2024-10-15	0.13	124.0	604.0
2024-10-16	0.0	0.0	604.0
2024-10-17	0.0	0.0	604.0
2024-10-18	0.0	0.0	604.0
2024-10-22	0.0	0.0	604.0
2024-10-23	-0.07	-76.0	528.0
2024-10-24	0.0	0.0	528.0
2024-10-25	0.0	0.0	528.0
2024-10-29	0.0	0.0	528.0
2024-10-30	0.0	0.0	528.0
2024-10-31	0.0	0.0	528.0
2024-11-01	0.0	0.0	528.0
2024-11-05	0.0	0.0	528.0
2024-11-06	0.07	64.0	592.0
2024-11-07	0.0	0.0	592.0
2024-11-08	0.0	0.0	592.0
2024-11-12	0.0	0.0	592.0
2024-11-13	0.0	0.0	592.0
2024-11-14	0.0	0.0	592.0
2024-11-15	0.0	0.0	592.0
2024-11-19	0.0	0.0	592.0
2024-11-20	0.0	0.0	592.0
2024-11-21	0.0	0.0	592.0
2024-11-22	0.0	0.0	592.0
2024-11-26	0.0	0.0	592.0
2024-11-27	-0.3	-306.0	286.0
2024-11-28	0.0	0.0	286.0
2024-11-29	0.0	0.0	286.0
2024-12-03	0.0	0.0	286.0
2024-12-04	0.0	0.0	286.0
2024-12-05	0.0	0.0	286.0
2024-12-06	0.0	0.0	286.0
2024-12-10	0.0	0.0	286.0
2024-12-11	0.0	0.0	286.0
2024-12-12	0.4	394.0	680.0
2024-12-13	0.0	0.0	680.0
2024-12-17	-0.3	-306.0	374.0
2024-12-18	0.0	0.0	374.0
2024-12-19	0.0	0.0	374.0
2024-12-20	0.0	0.0	374.0
2024-12-27	0.0	0.0	374.0
2025-01-02	0.0	0.0	374.0
2025-01-03	0.0	0.0	374.0
2025-01-07	0.12	114.0	488.0
2025-01-08	0.0	0.0	488.0
2025-01-09	0.0	0.0	488.0
2025-01-10	0.0	0.0	488.0
2025-01-14	0.0	0.0	488.0
2025-01-15	0.0	0.0	488.0
2025-01-16	0.0	0.0	488.0
2025-01-17	-0.05	-56.0	432.0
2025-01-21	0.0	0.0	432.0
2025-01-22	0.0	0.0	432.0
2025-01-23	0.0	0.0	432.0
2025-01-24	0.0	0.0	432.0
2025-01-28	0.0	0.0	432.0
2025-01-29	0.0	0.0	432.0
2025-01-30	0.0	0.0	432.0
2025-01-31	0.0	0.0	432.0
2025-02-04	0.0	0.0	432.0
2025-02-05	0.0	0.0	432.0
2025-02-06	0.0	0.0	432.0
2025-02-07	0.0	0.0	432.0
2025-02-11	0.0	0.0	432.0
2025-02-12	-0.03	-36.0	396.0
2025-02-13	-0.3	-306.0	90.0
2025-02-14	0.0	0.0	90.0
2025-02-18	0.0	0.0	90.0
2025-02-19	0.0	0.0	90.0
2025-02-20	0.0	0.0	90.0
2025-02-21	0.0	0.0	90.0
2025-02-25	-0.05	-56.0	34.0
2025-02-26	0.0	0.0	34.0
2025-02-27	0.0	0.0	34.0
2025-02-28	0.0	0.0	34.0
2025-03-04	0.0	0.0	34.0
2025-03-05	0.0	0.0	34.0
2025-03-06	0.0	0.0	34.0
2025-03-07	0.0	0.0	34.0
2025-03-11	0.09	84.0	118.0
2025-03-12	0.0	0.0	118.0
2025-03-13	-0.13	-136.0	-18.0
2025-03-14	0.0	0.0	-18.0
2025-03-18	0.0	0.0	-18.0
2025-03-19	0.0	0.0	-18.0
2025-03-20	0.0	0.0	-18.0
2025-03-21	0.0	0.0	-18.0
2025-03-25	0.0	0.0	-18.0
2025-03-26	0.0	0.0	-18.0
2025-03-27	0.0	0.0	-18.0
2025-03-28	-0.07	-76.0	-94.0
2025-04-01	0.0	0.0	-94.0
2025-04-02	0.0	0.0	-94.0
2025-04-03	0.0	0.0	-94.0
2025-04-04	0.0	0.0	-94.0
2025-04-08	0.0	0.0	-94.0
2025-04-09	0.0	0.0	-94.0
2025-04-10	-0.3	-306.0	-400.0
2025-04-11	0.0	0.0	-400.0
2025-04-15	0.0	0.0	-400.0
2025-04-16	0.0	0.0	-400.0
2025-04-17	0.16	154.0	-246.0
2025-04-22	0.0	0.0	-246.0
2025-04-23	0.0	0.0	-246.0
2025-04-24	0.15	144.0	-102.0
2025-04-25	0.0	0.0	-102.0
2025-04-29	0.0	0.0	-102.0
2025-04-30	0.0	0.0	-102.0
2025-05-02	0.0	0.0	-102.0
2025-05-06	0.0	0.0	-102.0
2025-05-07	0.11	104.0	2.0
2025-05-08	-0.3	-306.0	-304.0
2025-05-09	0.0	0.0	-304.0
2025-05-13	0.0	0.0	-304.0
2025-05-14	-0.3	-306.0	-610.0
2025-05-15	0.0	0.0	-610.0
2025-05-16	0.0	0.0	-610.0
2025-05-20	0.0	0.0	-610.0
2025-05-21	0.0	0.0	-610.0
2025-05-22	0.0	0.0	-610.0
2025-05-23	0.0	0.0	-610.0
2025-05-27	-0.3	-306.0	-916.0
2025-05-28	0.0	0.0	-916.0
2025-05-29	0.32	314.0	-602.0
2025-05-30	0.0	0.0	-602.0
2025-06-03	0.0	0.0	-602.0
2025-06-04	0.0	0.0	-602.0
2025-06-05	0.01	4.0	-598.0
2025-06-06	-0.3	-306.0	-904.0
2025-06-10	0.0	0.0	-904.0
2025-06-11	-0.3	-306.0	-1210.0
2025-06-12	0.02	14.0	-1196.0
2025-06-13	0.0	0.0	-1196.0
2025-06-17	0.0	0.0	-1196.0
2025-06-18	0.0	0.0	-1196.0
