pnl,dir,ix,ts,cumul,year
-0.95,SHORT,15959,2022-10-27 14:00:00,4.900000000000005,2022
-0.9,SHORT,15961,2022-10-27 16:00:00,4.000000000000004,2022
1.45,SHORT,15970,2022-10-28 11:00:00,5.450000000000005,2022
-0.37,LONG,16011,2022-11-02 10:00:00,5.0800000000000045,2022
-0.09,LONG,16023,2022-11-03 08:00:00,4.990000000000005,2022
-0.83,LONG,16051,2022-11-07 08:00:00,4.160000000000005,2022
1.19,LONG,16079,2022-11-09 08:00:00,5.350000000000005,2022
-0.73,SHORT,16088,2022-11-09 17:00:00,4.6200000000000045,2022
-0.77,SHORT,16099,2022-11-10 14:00:00,3.8500000000000045,2022
1.25,SHORT,16113,2022-11-11 14:00:00,5.100000000000005,2022
-1.64,SHORT,16162,2022-11-16 21:00:00,3.4600000000000053,2022
-0.08,LONG,16209,2022-11-22 12:00:00,3.3800000000000052,2022
-0.4,SHORT,16226,2022-11-23 15:00:00,2.9800000000000053,2022
-0.68,SHORT,16233,2022-11-24 08:00:00,2.300000000000005,2022
-0.68,SHORT,16236,2022-11-24 11:00:00,1.620000000000005,2022
1.03,SHORT,16247,2022-11-25 08:00:00,2.650000000000005,2022
-1.45,LONG,16265,2022-11-28 12:00:00,1.2000000000000048,2022
-0.19,SHORT,16277,2022-11-29 10:00:00,1.010000000000005,2022
-0.5,SHORT,18075,2023-06-01 16:00:00,0.5100000000000049,2023
-0.49,LONG,18089,2023-06-02 16:00:00,0.020000000000004903,2023
-0.47,LONG,18123,2023-06-07 08:00:00,-0.44999999999999507,2023
-0.5,LONG,18131,2023-06-07 16:00:00,-0.9499999999999951,2023
0.8,LONG,18157,2023-06-09 14:00:00,-0.14999999999999503,2023
-0.51,SHORT,18171,2023-06-12 14:00:00,-0.659999999999995,2023
0.74,SHORT,18185,2023-06-13 14:00:00,0.08000000000000496,2023
0.79,SHORT,18187,2023-06-13 16:00:00,0.870000000000005,2023
-0.56,LONG,18192,2023-06-13 21:00:00,0.31000000000000494,2023
-0.55,LONG,18213,2023-06-15 14:00:00,-0.2399999999999951,2023
0.88,LONG,18235,2023-06-19 08:00:00,0.6400000000000049,2023
0.82,SHORT,18239,2023-06-19 12:00:00,1.4600000000000048,2023
-0.85,SHORT,18256,2023-06-20 15:00:00,0.6100000000000049,2023
-0.06,SHORT,18258,2023-06-20 17:00:00,0.5500000000000049,2023
-0.48,LONG,18282,2023-06-22 13:00:00,0.07000000000000495,2023
0.8,LONG,18292,2023-06-23 09:00:00,0.870000000000005,2023
-0.57,SHORT,18307,2023-06-26 10:00:00,0.30000000000000504,2023
0.85,SHORT,18333,2023-06-28 08:00:00,1.150000000000005,2023
0.82,SHORT,18354,2023-06-29 15:00:00,1.970000000000005,2023
-0.2,LONG,18676,2023-08-01 15:00:00,1.7700000000000051,2023
-0.51,LONG,18706,2023-08-03 17:00:00,1.2600000000000051,2023
-0.31,SHORT,18725,2023-08-07 08:00:00,0.9500000000000051,2023
0.69,LONG,18739,2023-08-08 08:00:00,1.640000000000005,2023
-0.48,SHORT,18742,2023-08-08 11:00:00,1.160000000000005,2023
0.76,SHORT,18778,2023-08-10 19:00:00,1.920000000000005,2023
-0.45,LONG,18787,2023-08-11 14:00:00,1.470000000000005,2023
-0.44,LONG,18809,2023-08-15 08:00:00,1.0300000000000051,2023
-0.39,LONG,18813,2023-08-15 12:00:00,0.6400000000000051,2023
0.61,LONG,18823,2023-08-16 08:00:00,1.250000000000005,2023
0.62,LONG,18851,2023-08-18 08:00:00,1.870000000000005,2023
0.66,SHORT,18869,2023-08-21 12:00:00,2.530000000000005,2023
0.65,LONG,18894,2023-08-23 09:00:00,3.180000000000005,2023
-0.42,SHORT,18900,2023-08-23 15:00:00,2.760000000000005,2023
-0.01,LONG,18923,2023-08-25 10:00:00,2.7500000000000053,2023
-0.44,LONG,18939,2023-08-28 12:00:00,2.3100000000000054,2023
-0.01,SHORT,18951,2023-08-29 10:00:00,2.3000000000000056,2023
-0.07,SHORT,18959,2023-08-29 18:00:00,2.2300000000000058,2023
-0.49,SHORT,18997,2023-09-01 14:00:00,1.7400000000000058,2023
-0.48,LONG,19006,2023-09-04 09:00:00,1.2600000000000058,2023
-0.36,LONG,19033,2023-09-06 08:00:00,0.9000000000000058,2023
-0.37,LONG,19042,2023-09-06 17:00:00,0.5300000000000058,2023
0.55,SHORT,19075,2023-09-11 08:00:00,1.0800000000000058,2023
-0.36,LONG,19105,2023-09-13 10:00:00,0.7200000000000059,2023
0.48,LONG,19117,2023-09-14 08:00:00,1.200000000000006,2023
0.57,SHORT,19132,2023-09-15 09:00:00,1.7700000000000058,2023
